gene_name_1,gene_name_2,co_occurrence
KEAP1,CD209,1
KEAP1,MTOR,1
KEAP1,EGFR,2
KEAP1,TP53,2
KEAP1,SETD2,1
KEAP1,HOXA4,1
KEAP1,KRAS,2
KEAP1,STK11,1
KEAP1,MST1,1
RAD52,CHD4,5
RAD52,PARP1,4
RAD52,MFI2,4
RAD52,BPIFB1,5
RAD52,NUDT1,4
CD209,MTOR,1
CD209,EGFR,1
CD209,TP53,1
CD209,SETD2,1
CD209,HOXA4,1
CD209,KRAS,1
CD209,STK11,1
CD209,MST1,1
chromodomain helicase DNA-binding protein 4,CHD4,1
TERT,NKX2-1,1
TERT,EGFR,1
RET,ROS1,2
RET,MTOR,2
RET,EGFR,2
RET,SMG6-ALK,2
RET,ALK,8
RET,JMJD1C-RET,2
CHD4,PARP1,4
CHD4,MFI2,4
CHD4,BPIFB1,5
CHD4,NUDT1,4
ROS1,ALK,2
CDKN2A,EGFR,1
MTOR,EGFR,3
MTOR,TP53,1
MTOR,SETD2,1
MTOR,ALK,2
MTOR,HOXA4,1
MTOR,KRAS,1
MTOR,STK11,1
MTOR,MST1,1
PARP1,MFI2,4
PARP1,BPIFB1,4
PARP1,NUDT1,4
NKX2-1,EGFR,1
EGFR,RB1,1
EGFR,TP53,3
EGFR,SETD2,1
EGFR,ALK,3
EGFR,HOXA4,2
EGFR,KRAS,2
EGFR,STK11,1
EGFR,MST1,2
MFI2,BPIFB1,4
MFI2,NUDT1,4
TP53,SETD2,1
TP53,HOXA4,2
TP53,KRAS,2
TP53,STK11,1
TP53,MST1,2
SETD2,HOXA4,1
SETD2,KRAS,1
SETD2,STK11,1
SETD2,MST1,1
SMG6-ALK,ALK,2
SMG6-ALK,JMJD1C-RET,3
EML4,ALK,1
ALK,JMJD1C-RET,2
BPIFB1,NUDT1,4
HOXA4,KRAS,1
HOXA4,STK11,1
HOXA4,MST1,3
KRAS,STK11,1
KRAS,MST1,1
STK11,MST1,1
