gene_name_1,gene_name_2,co_occurrence
PARP,miR-340,2
CDK6,miR-34,1
CDK6,CCNE1,1
CDK6,CDK4,1
CDK6,CCND1,1
CDK6,CCNE2,1
CDK6,CCND1/2/3,1
Rock1,RhoA,4
Rock1,E-cadherin,2
Rock1,c-Met,5
Rock1,miR-340,7
PTEN,miR-221,1
PTEN,TRAIL,1
PTEN,TIMP3,1
CXCR4,miR-340,1
miR-190,TGF-beta,1
miR-190,miR-93,1
miR-190,miR-519d,1
miR-190,miR-340,1
miR-34,CCNE1,1
miR-34,CDK4,1
miR-34,CCND1,1
miR-34,CCNE2,1
miR-34,CCND1/2/3,1
GAPDH,SKP2,1
GAPDH,beta-actin,1
GAPDH,miR-340,2
GAPDH,p27,1
RhoA,E-cadherin,2
RhoA,E-Cadherin,1
RhoA,c-Met,3
RhoA,miR-340,5
miR-16,miR-15a,1
CCNE1,CDK4,1
CCNE1,CCND1,1
CCNE1,CCNE2,1
CCNE1,CCND1/2/3,1
p21CIP1,p57,1
p21CIP1,CDKN1,1
p21CIP1,miR-106b,1
p21CIP1,miR-93,1
p21CIP1,miR-221,1
p21CIP1,miR-222,1
p21CIP1,miR-340,1
p21CIP1,p27,1
p27KIP1,CDKs,1
p27KIP1,p27,1
Cdkn1B,Skp2,1
Cdkn1B,p27,1
TGF-beta,miR-93,1
TGF-beta,miR-519d,1
TGF-beta,miR-340,2
Aurora-A,PUM2,3
Aurora-A,E2F3,1
Aurora-A,miR-340,1
Aurora-A,PUM1,1
Aurora-A,p27,1
E-cadherin,CDH1,1
E-cadherin,c-Met,2
E-cadherin,miR-340,3
CDK4,CCND1,1
CDK4,CCNE2,1
CDK4,CCND1/2/3,1
CCND1,CCNE2,1
CCND1,CCND1/2/3,1
p57,miR-106b,1
p57,miR-93,1
p57,miR-221,1
p57,miR-222,1
p57,p27,1
beta-TrCP,SKP2,1
CDKN1,miR-340,1
miR-15a,miR-16-1,1
PUM2,SKP2,10
PUM2,ROCK1,1
PUM2,miR-221,2
PUM2,miR-222,2
PUM2,Pumilio-2,1
PUM2,E2F3,1
PUM2,RHOA,1
PUM2,miR-340,16
PUM2,PUM1,30
PUM2,p27,19
miR-106b,miR-93,1
miR-106b,miR-221,1
miR-106b,miR-222,1
miR-106b,p27,1
c-Jun,ERK,1
c-Jun,Fra-1,1
ERK,Fra-1,1
miR-21,PDCD4,1
miR-93,miR-221,1
miR-93,miR-222,1
miR-93,miR-519d,1
miR-93,miR-340,1
miR-93,p27,1
RNF130,SKP2,3
RNF130,miR-340,4
S-phase Kinase associated Protein 2,SKP2,1
p27Kip1,miR-221,1
p27Kip1,miR-222,2
Kip1,miR-221,1
Kip1,miR-222,1
Kip1,p27,1
CCNE2,CCND1/2/3,1
SKP2,ROCK1,1
SKP2,miR-221,1
SKP2,miR-222,1
SKP2,beta-actin,2
SKP2,RHOA,1
SKP2,miR-340,28
SKP2,PUM1,18
SKP2,p27,12
SKP2,PUM1/2,1
E-Cadherin,miR-340,1
CDH1,ROCK1,1
CDH1,RHOA,1
CDH1,miR-340,2
ROCK1,RHOA,2
ROCK1,miR-340,3
ROCK1,PUM1,1
ROCK1,p27,1
miR-221,TRAIL,1
miR-221,miR-222,6
miR-221,TIMP3,1
miR-221,PUM1,2
miR-221,p27,4
TRAIL,TIMP3,1
miR-222,miR-340,3
miR-222,PUM1,2
miR-222,p27,7
miR-137,miR-340,1
beta-actin,miR-340,2
beta-actin,p27,1
Pumilio-2,miR-340,1
Pumilio-2,PUM1,1
E2F3,miR-340,2
E2F3,PUM1,1
E2F3,p27,2
Pumilio-1,PUM1,1
Pumilio-1,p27,1
c-Met,miR-340,6
CDKs,p27,1
Skp2,p27,1
miR-519d,miR-340,1
RHOA,miR-340,2
RHOA,PUM1,1
RHOA,p27,1
miR-340,PUM1,23
miR-340,p27,39
miR-340,PUM1/2,2
CDKN1B,p27,2
PUM1,p27,21
p27,PUM1/2,1
