gene_name_1,gene_name_2,co_occurrence
CRKL,NF1,1
CRKL,BRAF,1
CRKL,HER2,1
CRKL,epidermal growth factor receptor,1
EGF,LAMP1,1
EGF,Mig6,3
EGF,c-Abl,1
EGF,RALT,1
EGF,muM,5
EGF,PC9,2
EGF,ERRFI1,1
EGF,EGFR,13
EGF,MIG6,8
LAMP1,EGFR,1
ERBB,EGFR,1
ERBB,MIG6,2
ERBB,ERBB2,1
Sprouty2,EGFR,1
Sprouty2,MIG6,1
Mig6,c-Abl,1
Mig6,Sftpc,1
Mig6,Pten,1
Mig6,PC9,1
Mig6,EGFR,18
Mig6,MIG6,1
Mig6,Egfr,3
Mig6,Rho-GDI,1
mig6,epidermal growth factor receptor,1
RALT,ErbB-2,1
RALT,ERRFI1,1
RALT,MIG6,1
muM,EGFR,3
muM,MIG6,2
Ttf1,Ki67,3
Ttf1,pErk,3
NF1,BRAF,1
NF1,EGFR,1
NF1,HER2,1
Sftpc,EGFR,1
Sftpc,Egfr,1
Pten,Mig-6,1
PC9,EGFR,2
PC9,DCTD,1
PC9,MIG6,2
Ki67,pErk,4
Ki67,p19ARF,1
BRAF,NRAS,1
BRAF,EGFR,1
BRAF,HER2,1
BRAF,KRAS,1
NRAS,EGFR,1
NRAS,KRAS,1
ERRFI1,MIG6,1
EGFR,pERK,1
EGFR,RhoGDI,1
EGFR,ERK,2
EGFR,HER2,2
EGFR,MIG6,67
EGFR,CCSP,1
EGFR,Ttf-1,2
EGFR,Egfr,3
EGFR,Mig-6,2
EGFR,KRAS,3
EGFR,ERBB2,1
EGFR,AKT,2
EGFR,epidermal growth factor receptor,1
pERK,ERK,1
pERK,pErk,1
pERK,AKT,1
miR200c,MIG6,1
RhoGDI,MIG6,1
ERK,AKT,2
MIG6,ERBB2,1
MIG6,epidermal growth factor receptor,1
