gene_name_1,gene_name_2,co_occurrence
miR-130b,miR-93,1
SMAD7,PTEN,1
SMAD7,CDKN1A,1
SMAD7,NEDD4L,1
SMAD7,miR-93,1
SMAD7,PDCD4,1
PIK3CA,PTEN,1
PIK3CA,LKB1,1
PIK3CA,KRAS,1
PIK3CA,AKT,1
miR-92a-1,miR-19b-1,1
miR-92a-1,miR-18a,1
miR-92a-1,miR-17-92,1
miR-92a-1,miR-21,1
miR-92a-1,miR-93,1
miR-92a-1,miR-17,1
miR-92a-1,miR-19a,1
miR-92a-1,miR-20a,1
mTOR,LKB1,2
mTOR,STK11,1
miR-29c,miR-429,1
miR-29c,miR-93,1
PTEN,MicroRNA-93,2
PTEN,CDKN1A,7
PTEN,NEDD4L,1
PTEN,p21,8
PTEN,LKB1,10
PTEN,miR-93,12
PTEN,p53,4
PTEN,MiR-93,2
PTEN,PDCD4,1
PTEN,KRAS,1
PTEN,AKT,1
MicroRNA-93,CDKN1A,1
MicroRNA-93,miR-93,1
miR-19b-1,miR-18a,1
miR-19b-1,miR-17-92,1
miR-19b-1,miR-21,1
miR-19b-1,miR-93,1
miR-19b-1,miR-17,1
miR-19b-1,miR-19a,1
miR-19b-1,miR-20a,1
Six1,TGF-beta,1
Six1,Smad7,1
Six1,EMT,1
TGF-beta,Smad7,1
TGF-beta,EMT,1
ZNRF3,miR-93,1
CDKN1A,NEDD4L,1
CDKN1A,LKB1,2
CDKN1A,miR-93,5
CDKN1A,MiR-93,1
CDKN1A,PDCD4,1
NEDD4L,miR-93,1
NEDD4L,MiR-93,1
NEDD4L,PDCD4,1
p21,LKB1,7
p21,miR-93,7
p21,p53,3
miR-18a,miR-17-92,1
miR-18a,miR-21,1
miR-18a,miR-93,1
miR-18a,miR-17,1
miR-18a,miR-19a,1
miR-18a,miR-20a,1
Pten,Lkb1,1
Pten,PD-L1,1
miR-17-92,miR-21,1
miR-17-92,miR-93,1
miR-17-92,miR-17,1
miR-17-92,miR-19a,1
miR-17-92,miR-20a,1
Lkb1,PD-L1,1
LKB1,miR-93,19
LKB1,TP53,1
LKB1,p53,2
LKB1,KRAS,3
LKB1,STK11,1
LKB1,AKT,1
LKB1,Akt,1
miR-429,miR-93,1
miR-21,miR-93,1
miR-21,miR-17,1
miR-21,miR-19a,1
miR-21,miR-20a,1
miR-93,miR-17,1
miR-93,miR-19a,1
miR-93,p53,2
miR-93,PDCD4,1
miR-93,miR-20a,1
miR-93,Akt,2
miR-17,miR-19a,1
miR-17,miR-20a,1
TP53,KRAS,1
Smad7,EMT,1
miR-19a,miR-20a,1
MicroRNA-21,sec23a,1
MiR-93,PDCD4,1
KRAS,AKT,1
