gene_name_1,gene_name_2,co_occurrence
tumor protein 53,PTEN,1
tumor protein 53,Hes1,1
tumor protein 53,IGF-1R,1
tumor protein 53,insulin-like growth factor 1 receptor,1
tumor protein 53,MCL-1,1
tumor protein 53,EGFR,1
tumor protein 53,delta-like ligand 4,1
tumor protein 53,Bim,1
tumor protein 53,p53,1
tumor protein 53,Hes,1
tumor protein 53,Bcl-2,1
tumor protein 53,DLL4,1
MYC,Notch1,1
miR-34a,Notch-1,1
Jagged1,Hes1,1
Jagged1,DLL1,1
Jagged1,Notch3,1
Jagged1,DLL3,1
Jagged1,SRa,1
Jagged1,Notch4,1
Jagged1,Notch1,1
Jagged1,DLL4,1
PTEN,Hes1,1
PTEN,IGF-1R,1
PTEN,insulin-like growth factor 1 receptor,1
PTEN,MCL-1,1
PTEN,EGFR,1
PTEN,delta-like ligand 4,1
PTEN,Bim,1
PTEN,p53,1
PTEN,Hes,1
PTEN,Bcl-2,1
PTEN,Notch1,1
PTEN,DLL4,1
Hes1,IGF-1R,1
Hes1,DLL1,1
Hes1,insulin-like growth factor 1 receptor,1
Hes1,MCL-1,1
Hes1,EGFR,1
Hes1,delta-like ligand 4,1
Hes1,Notch3,2
Hes1,Bim,1
Hes1,DLL3,1
Hes1,p53,1
Hes1,SRa,1
Hes1,Notch4,1
Hes1,Hes,4
Hes1,Bcl-2,1
Hes1,Notch1,1
Hes1,DLL4,3
IGF-1R,insulin-like growth factor 1 receptor,2
IGF-1R,MCL-1,1
IGF-1R,EGFR,1
IGF-1R,delta-like ligand 4,1
IGF-1R,Bim,1
IGF-1R,p53,1
IGF-1R,Hes,1
IGF-1R,Bcl-2,1
IGF-1R,Notch1,3
IGF-1R,DLL4,1
CD24,Notch3,1
CD24,ITGB4,1
DLL1,Notch3,1
DLL1,DLL3,1
DLL1,SRa,1
DLL1,Notch4,1
DLL1,Notch1,1
DLL1,DLL4,1
insulin-like growth factor 1 receptor,MCL-1,1
insulin-like growth factor 1 receptor,EGFR,1
insulin-like growth factor 1 receptor,delta-like ligand 4,1
insulin-like growth factor 1 receptor,Bim,1
insulin-like growth factor 1 receptor,p53,1
insulin-like growth factor 1 receptor,Hes,1
insulin-like growth factor 1 receptor,Bcl-2,1
insulin-like growth factor 1 receptor,Notch1,1
insulin-like growth factor 1 receptor,DLL4,1
PC9,Notch1,2
Notch1-4,Jagged1 and 2,1
Notch1-4,DLL4,1
MCL-1,EGFR,1
MCL-1,delta-like ligand 4,1
MCL-1,Bim,1
MCL-1,p53,1
MCL-1,Hes,1
MCL-1,Bcl-2,1
MCL-1,DLL4,1
Numb,Notch1,1
EGFR,delta-like ligand 4,1
EGFR,Notch3,2
EGFR,Bim,2
EGFR,p53,1
EGFR,epidermal growth factor receptor,1
EGFR,Hes,1
EGFR,Bcl-2,2
EGFR,DLL4,1
Notch-1,epidermal growth factor receptor,1
delta-like ligand 4,Bim,1
delta-like ligand 4,p53,1
delta-like ligand 4,Hes,1
delta-like ligand 4,Bcl-2,1
delta-like ligand 4,DLL4,1
Myc,Notch1,1
Hes 1,Hes,1
Jagged1 and 2,DLL4,1
Notch3,Bim,1
Notch3,DLL3,1
Notch3,SRa,1
Notch3,epidermal growth factor receptor,1
Notch3,Notch4,1
Notch3,Hes,1
Notch3,Bcl-2,1
Notch3,ITGB4,1
Notch3,Notch1,1
Notch3,DLL4,1
Bim,p53,1
Bim,epidermal growth factor receptor,1
Bim,Hes,1
Bim,Bcl-2,2
Bim,DLL4,1
DLL3,SRa,1
DLL3,Notch4,1
DLL3,Notch1,1
DLL3,DLL4,1
p53,Hes,1
p53,Bcl-2,1
p53,Notch1,1
p53,DLL4,1
Notch2,Kras,1
Notch2,Notch1,5
Kras,Notch1,1
SRa,Notch4,1
SRa,Notch1,1
SRa,DLL4,1
epidermal growth factor receptor,Bcl-2,1
Notch4,Notch1,1
Notch4,DLL4,1
SCC,Delta-like ligand 4,1
SCC,Notch1,3
SCC,DLL4,1
Hes,Bcl-2,1
Hes,DLL4,2
Bcl-2,DLL4,1
Delta-like ligand 4,Notch1,1
Delta-like ligand 4,DLL4,1
Notch1,DLL4,3
