gene_name_1,gene_name_2,co_occurrence
IL-2 and IFNs,TNF-alpha,1
interleukin-1beta,tumor necrosis factor-alpha,1
IL1A,IL12B,1
IL1A,IFNG,2
IL1A,IL15RA,2
IL1A,IL7R,4
IL1A,IL13,1
IL1A,IL2,1
IL1A,TNFRSF1A,1
IL1A,IL6R,1
IL1A,TGFB1,1
IL1A,IL4,1
IL1A,IL4R,1
IL1A,IFNAR2,2
IL1A,IL15,5
IL1A,IL6,2
IL1A,IL1RN,3
IL1A,IL8RA,1
IL1A,IL-10,1
IL1A,TGFBR1,1
IL1A,IL10,1
IL1A,IL1B,1
IL1A,TNF,3
IL1A,TNF-alpha,1
IL1A,IFNGR2,1
IL1A,IL8,3
IL1A,TNFRSF10A,4
IL1A,IL7,1
IL-2,IL-15RA,1
IL-2,IL-15,1
IL1,IL10,1
IL1,TNF,1
IFN-gamma,IL-8,3
IFN-gamma,IL7R,1
IFN-gamma,IL-1alpha,1
IFN-gamma,TGF-beta1,2
IFN-gamma,IL-7R,4
IFN-gamma,IL-10,3
IFN-gamma,IL-6,2
IFN-gamma,TNF-alpha,3
IL12B,IFNG,1
IL12B,IL15RA,1
IL12B,IL7R,1
IL12B,IL13,1
IL12B,IL2,1
IL12B,TNFRSF1A,1
IL12B,IL6R,1
IL12B,TGFB1,1
IL12B,IL4,1
IL12B,IL4R,1
IL12B,IFNAR2,1
IL12B,IL15,1
IL12B,IL6,1
IL12B,IL1RN,1
IL12B,IL8RA,1
IL12B,TGFBR1,1
IL12B,IL10,1
IL12B,IL1B,1
IL12B,TNF,1
IL12B,IFNGR2,1
IL12B,IL8,1
IL12B,TNFRSF10A,1
IFNG,IL15RA,2
IFNG,IL7R,1
IFNG,IL13,1
IFNG,IL2,1
IFNG,TNFRSF1A,1
IFNG,IL6R,1
IFNG,TGFB1,1
IFNG,IL4,1
IFNG,IL4R,1
IFNG,IFNAR2,2
IFNG,IL15,2
IFNG,IL6,2
IFNG,IL1RN,1
IFNG,IL8RA,1
IFNG,IL-10,1
IFNG,TGFBR1,1
IFNG,IL10,1
IFNG,IL1B,1
IFNG,TNF,1
IFNG,TNF-alpha,1
IFNG,IFNGR2,1
IFNG,IL8,3
IFNG,TNFRSF10A,1
IFNG,IL7,1
IL15RA,IL7R,2
IL15RA,IL13,1
IL15RA,IL2,1
IL15RA,TNFRSF1A,2
IL15RA,IL6R,1
IL15RA,TGFB1,1
IL15RA,IL4,1
IL15RA,IL4R,1
IL15RA,IFNAR2,2
IL15RA,IL15,3
IL15RA,IL6,2
IL15RA,IL1RN,1
IL15RA,IL8RA,1
IL15RA,IL-10,1
IL15RA,TGFBR1,1
IL15RA,IL10,1
IL15RA,IL1B,1
IL15RA,TNF,1
IL15RA,TNF-alpha,1
IL15RA,IFNGR2,1
IL15RA,IL8,2
IL15RA,TNFRSF10A,2
IL15RA,IL7,1
IL-8,IL-1alpha,1
IL-8,IL-7,4
IL-8,TGF-beta1,1
IL-8,vascular endothelial growth factor,1
IL-8,IL-1beta,1
IL-8,IL-7R,1
IL-8,IL-4,1
IL-8,IL-10,3
IL-8,IL-6,3
IL-8,NFkappaB,1
IL-8,TNF-alpha,3
IL-8,IL-15,1
IL7R,IL13,2
IL7R,IL2,1
IL7R,TNFRSF1A,2
IL7R,IL6R,1
IL7R,IL-7,1
IL7R,TGFB1,1
IL7R,IL4,1
IL7R,IL4R,1
IL7R,IFNAR2,2
IL7R,IL15,10
IL7R,IL6,2
IL7R,IL1RN,3
IL7R,IL-7R,1
IL7R,IL8RA,1
IL7R,TGFBR1,1
IL7R,IL10,8
IL7R,interleukin 6,1
IL7R,tumor necrosis factor,1
IL7R,IL1B,2
IL7R,TNF,7
IL7R,TNF-alpha,1
IL7R,IFNGR2,1
IL7R,IL8,2
IL7R,TNFRSF10A,7
IL7R,IL-15,1
IL13,IL2,1
IL13,TNFRSF1A,1
IL13,IL6R,1
IL13,TGFB1,1
IL13,IL4,1
IL13,IL4R,1
IL13,IFNAR2,2
IL13,IL15,3
IL13,IL6,3
IL13,IL1RN,1
IL13,IL8RA,1
IL13,TGFBR1,1
IL13,IL10,1
IL13,IL1B,2
IL13,TNF,3
IL13,IFNGR2,1
IL13,IL8,1
IL13,TNFRSF10A,1
IL2,TNFRSF1A,1
IL2,IL6R,1
IL2,TGFB1,1
IL2,IL4,1
IL2,IL4R,1
IL2,IFNAR2,1
IL2,IL15,1
IL2,IL6,1
IL2,IL1RN,1
IL2,IL8RA,1
IL2,TGFBR1,1
IL2,IL10,1
IL2,IL1B,1
IL2,TNF,1
IL2,IFNGR2,1
IL2,IL8,1
IL2,TNFRSF10A,1
IL-1alpha,TGF-beta1,1
IL-1alpha,IL-1beta,1
IL-1alpha,IL-7R,1
IL-1alpha,IL-10,1
IL-1alpha,IL-6,1
IL-1alpha,IL-1,2
