gene_name_1,gene_name_2,co_occurrence
Ron,JAK2,1
Ron,IGF-1R,6
Ron,c-MET,6
Ron,platelet-derived growth factor receptor,2
Ron,EGFR,3
Ron,PLCG1,1
Ron,IGF-1R PIK3R2 c-MET,1
Ron,IGF-1R GRB2 c-MET,1
Ron,PDGFR,6
Ron,JAK1,1
Ron,SRC,1
Ron,IGF-1R SHC1 c-MET,1
miR-30a,PIK3CD,2
epidermal growth factor receptor,EGFR,2
Src,NCK adaptor protein 1,1
Src,protein tyrosine kinase 2,1
Src,JAK1/2,1
Src,PTK2,1
Src,CBL,1
Src,GRB2,1
Src,SHC1,1
Src,growth factor receptor-bound protein 2,1
Src,PIK3R1/2,1
Src,EGFR,1
Src,NCK1,1
Src,PLCG1,1
Src,Cbl,1
Src,SRC,1
Src,Janus kinase 1,1
miR-16,cyclin D1,1
miR-16,BCL1,1
miR-16,MiR-15b,1
NCK adaptor protein 1,Src,1
NCK adaptor protein 1,protein tyrosine kinase 2,1
NCK adaptor protein 1,JAK1/2,1
NCK adaptor protein 1,PTK2,1
NCK adaptor protein 1,CBL,1
NCK adaptor protein 1,GRB2,1
NCK adaptor protein 1,SHC1,1
NCK adaptor protein 1,growth factor receptor-bound protein 2,1
NCK adaptor protein 1,PIK3R1/2,1
NCK adaptor protein 1,EGFR,1
NCK adaptor protein 1,NCK1,1
NCK adaptor protein 1,PLCG1,1
NCK adaptor protein 1,Cbl,1
NCK adaptor protein 1,SRC,1
NCK adaptor protein 1,Janus kinase 1,1
protein tyrosine kinase 2,Src,1
protein tyrosine kinase 2,NCK adaptor protein 1,1
protein tyrosine kinase 2,JAK1/2,1
protein tyrosine kinase 2,PTK2,1
protein tyrosine kinase 2,CBL,1
protein tyrosine kinase 2,GRB2,1
protein tyrosine kinase 2,SHC1,1
protein tyrosine kinase 2,growth factor receptor-bound protein 2,1
protein tyrosine kinase 2,PIK3R1/2,1
protein tyrosine kinase 2,EGFR,1
protein tyrosine kinase 2,NCK1,1
protein tyrosine kinase 2,PLCG1,1
protein tyrosine kinase 2,Cbl,1
protein tyrosine kinase 2,SRC,1
protein tyrosine kinase 2,Janus kinase 1,1
JAK1/2,NCK adaptor protein 1,1
JAK1/2,protein tyrosine kinase 2,1
JAK1/2,PTK2,1
JAK1/2,CBL,1
JAK1/2,GRB2,1
JAK1/2,SHC1,1
JAK1/2,growth factor receptor-bound protein 2,1
JAK1/2,PIK3R1/2,1
JAK1/2,EGFR,1
JAK1/2,NCK1,1
JAK1/2,PLCG1,1
JAK1/2,Cbl,1
JAK1/2,SRC,1
JAK1/2,Janus kinase 1,1
miR-451,miR-27a,1
PTK2,NCK adaptor protein 1,1
PTK2,protein tyrosine kinase 2,1
PTK2,CBL,1
PTK2,GRB2,1
PTK2,SHC1,1
PTK2,growth factor receptor-bound protein 2,1
PTK2,PIK3R1/2,1
PTK2,EGFR,1
PTK2,NCK1,1
PTK2,PLCG1,1
PTK2,Cbl,1
PTK2,SRC,1
PTK2,Janus kinase 1,1
Akt,EGFR,1
Akt,miR-7,1
MiR-128b,EGFR,1
CBL,NCK adaptor protein 1,1
CBL,protein tyrosine kinase 2,1
CBL,GRB2,1
CBL,SHC1,1
CBL,growth factor receptor-bound protein 2,1
CBL,PIK3R1/2,1
CBL,EGFR,1
CBL,NCK1,1
CBL,PLCG1,1
CBL,Cbl,1
CBL,SRC,1
CBL,Janus kinase 1,1
cyclin D1,miR-16,1
cyclin D1,BCL1,1
cyclin D1,MiR-15b,1
miR-27a,JAK2,2
miR-27a,GRB2,4
miR-27a,PIK3R2,4
miR-27a,growth factor receptor-bound protein 2,1
miR-27a,miR-34a,4
miR-27a,miR-520e,4
miR-27a,miR-155,2
miR-27a,PLCG1,4
miR-27a,miR-302b,4
miR-27a,JAK1,4
miR-27a,Janus kinase 1,1
JAK2,IGF-1R,1
JAK2,GRB2,2
JAK2,c-MET,1
JAK2,PIK3R2,2
JAK2,miR-34a,2
JAK2,miR-520e,2
JAK2,miR-155,3
JAK2,PLCG1,3
JAK2,IGF-1R PIK3R2 c-MET,1
JAK2,IGF-1R GRB2 c-MET,1
JAK2,PDGFR,1
JAK2,miR-302b,2
JAK2,JAK1,3
JAK2,SRC,1
JAK2,IGF-1R SHC1 c-MET,1
BCL1,cyclin D1,1
